year,month,date,enplaned,deplaned,total_passengers,source_file
2024,1,2024-01-01,2030504,1967195,3997699,2025-01_Passenger_Details.pdf
2024,2,2024-02-01,1967011,2017509,3984520,2025-02_Passenger_Details.pdf
2024,3,2024-03-01,2323426,2328705,4652131,2025-03_Passenger_Details.pdf
2024,4,2024-04-01,2262511,2220243,4482754,2025-04_Passenger_Details.pdf
2024,5,2024-05-01,2382883,2399059,4781942,2025-05_Passenger_Details.pdf
2024,6,2024-06-01,2342464,2326644,4669108,2025-06_Passenger_Details.pdf
2024,7,2024-07-01,2352936,2346468,4699404,2025-07_Passenger_Details.pdf
2024,8,2024-08-01,2218429,2257853,4476282,2025-08_Passenger_Details.pdf
2024,9,2024-09-01,2192802,2159759,4352561,2025-09_Passenger_Details.pdf
2024,10,2024-10-01,2444455,2436207,4880662,2025-10_Passenger_Details.pdf
2025,1,2025-01-01,2006281,1947654,3953935,2025-01_Passenger_Details.pdf
2025,2,2025-02-01,1829875,1849912,3679787,2025-02_Passenger_Details.pdf
2025,3,2025-03-01,2241069,2210759,4451828,2025-03_Passenger_Details.pdf
2025,4,2025-04-01,2166793,2155529,4322322,2025-04_Passenger_Details.pdf
2025,5,2025-05-01,2296968,2309165,4606133,2025-05_Passenger_Details.pdf
2025,6,2025-06-01,2217694,2165096,4382790,2025-06_Passenger_Details.pdf
2025,7,2025-07-01,2205893,2218596,4424489,2025-07_Passenger_Details.pdf
2025,8,2025-08-01,2102592,2108157,4210749,2025-08_Passenger_Details.pdf
2025,9,2025-09-01,2045652,2042899,4088551,2025-09_Passenger_Details.pdf
2025,10,2025-10-01,2242711,2259322,4502033,2025-10_Passenger_Details.pdf
